,label,left,top,width,height,HITId,AssignmentId,WorkerId,ca,no,tr,fr
0,Object held in hand,614.0,462.0,463.0,261.0,3M67TQBQRKNNI09YMUQCSK0OB6R9A9,3N1FSUEFL9ZN6L4RFBQPQXT0DPO4DL,A35E8LAQ1R6I9X,airplane,1,hodgepodge,1
1,Object held in hand,612.0,387.0,521.0,434.0,3HUR21WDEXOEFEPZ5GA6B94DL0RYXX,3X4MXAO0BKNTGX6G7IRSQETVCK7WR0,AF2RVFRGP7GXX,airplane,1,hodgepodge,7
2,Object held in hand,639.0,398.0,465.0,395.0,3NQUW096O974EJ02JLF21YGZ5IWL99,38JBBYETQS9SYRIRB619WFBLD2EE4F,A3E7ZJB271LWC4,airplane,1,hodgepodge,13
3,Object held in hand,617.0,351.0,634.0,458.0,386659BNUOG9SI8LQFEQO86S48U013,3HUTX6F6VYM474GT16LH8C81XQ82OV,A3S5AA4R3RIEEP,airplane,1,hodgepodge,19
4,Object held in hand,593.0,451.0,536.0,259.0,3QGHA0EA1MZ3D6RYLJ001FS5RPXWBH,3TVRFO09GOEX2ZGTC3QI6LY3FTQXL4,A1HQ92QSZNLRCO,airplane,1,hodgepodge,25
5,Object held in hand,723.0,279.0,319.0,500.0,3FHTJGYT9QZ9KE28PJEJAWB6E5SGPT,3RSDURM96EL8WYWB0DPGC4FS83FYEM,A2YLF04UAKYVF1,airplane,1,hodgepodge,31
6,Object held in hand,615.0,303.0,500.0,285.0,386T3MLZMQUR3IS6P0N53IT0IE108O,3WS1NTTKE2B35H0MNGYD2U688R40FU,A3KQEFX15OV461,airplane,1,hodgepodge,37
7,Object held in hand,690.0,215.0,497.0,418.0,3L21G7IH5AV6PD46YNPZG00CGLC1Y8,3V5Q80FXI1QFLFN7I81PK9AQ2ZQ23E,A2PJBSDDN22XIX,airplane,1,hodgepodge,43
8,Object held in hand,616.0,329.0,468.0,268.0,3ZXNP4Z3AUK000C94OHIN2PTAS97LK,3QY5DC2MXVJJL3C2LNCXR1UFOGKFUO,A1N274L13ZKKI5,airplane,1,hodgepodge,49
9,Object held in hand,476.0,250.0,456.0,351.0,3JGHED38FGQK0ZJ8N368HARPJ7AY70,3JC6VJ2SAFI74X5F96IX5OR8SJ55AA,A1L3AMVT1UIZPD,airplane,1,hodgepodge,55
10,Object held in hand,473.0,245.0,506.0,306.0,3SMIWMMK744I9504LAHV65KTGA4WUY,3NG53N1RLZIXEJUJWN7X73QUTUJP8N,A39J5RLVDTM6SM,airplane,1,hodgepodge,61
