,HumanRecognition,HITId,AssignmentId,WorkerId,ca,no,tr,fr
0,Helicopter,30F94FBDOUJBLPN4QEVPEVL6NH4TBL,3KIBXJ1WD9TZOKKJQCRL88UV9ZUKOC,A18R8GG33EVI6C,airplane,1,rxplus,1
1,Airplane,3CVDZS289KZXLB90MJG9B7HZ8CNMFS,3G0WWMR1UZJ3H2I222B5P56ZJGHNQZ,AKM6A2R4THEII,airplane,1,rxplus,19
2,Airplane,3CZH926SJFDPB7KYL4W77VFZAKR4E1,3A9AA95AT0LER1BHYP0UVJG3O4YP5Y,ADZLMF2H5IPRO,airplane,1,rxplus,37
3,Airplane,3UUSLRKAVO2H2OOHR7JU4PHO1B17DI,3GNA64GUZI3ZRDCWY2FJVO6DTBRQ5J,A1H2DOSN5SFN7A,airplane,1,rxplus,55
4,Airplane,391FPZIE5FL0CF5FQBVV52A61F8UHZ,3BWI6RSP7K8PHE0AD4ZGZRVV1P2E70,A1GKD3NG1NNHRP,airplane,1,rzplus,1
5,Airplane,3APP19WN84D1A8K3ANFA4WKPJV7G6I,3TS1AR6UQUDHNS068FJMH9GVEKQF7H,A13V95MSIU0JN3,airplane,1,rzplus,19
6,Airplane,3R5LWXWHS37ETN4ZBAO049X9G1WXGN,333U7HK6IDED93NCIIDTWZIJUP2DJE,A2U1NN8QDH1YVC,airplane,1,rzplus,37
7,Airplane,3BVS8WK9R3ULCB7TW2WL0OJXCBGIB7,3JWH6J9I9WCGDWGDJKEFUGB00PIBNY,AVV45BXBPOCS0,airplane,1,rzplus,55
8,Airplane,3MNJFORX9E3ZD4OUUKZNU56DMCB5FP,3FUI0JHJP1X46XJQM8FU3JFI3MB33O,A18R8GG33EVI6C,airplane,2,rxplus,1
9,Helicopter,3XEIP58NM3MJKAIFNJ91EMISKCQZLQ,3GGAI1SQEZXT5JNJLJVASLSIAB6CMJ,AKM6A2R4THEII,airplane,2,rxplus,19
10,Airplane,3PR3LXCWTIYZEDHRX4IQCSBMCIG9XB,3FIJLY1B6Y36TY4641D3HV7GDYCFP7,ADZLMF2H5IPRO,airplane,2,rxplus,37
11,Airplane,3MXX6RQ9FY4T8Y9OUICI17E3OSE4P9,3GM6G9ZBKRWAR0PU75Q0HVSMZDRTM1,A1H2DOSN5SFN7A,airplane,2,rxplus,55
12,Airplane,3T2EL38U1PJ56CYDE6TCYN1BMKLQXJ,3N4BPTXIOCRU1P4GMY3U7EMKTWAUKF,A1GKD3NG1NNHRP,airplane,2,rzplus,1
13,Airplane,3XEDXEGFY6NBYJU7YPK8TN2RD920K4,35LDD5557E3BOHZ7DWC8G45QH8PMKU,A13V95MSIU0JN3,airplane,2,rzplus,19
14,Airplane,3GKAWYFRBSS68USHNTDB4B891AMPDW,3EICBYG648V34BHYIMIICT019PRCJE,AFO9MCOXXSYY7,airplane,2,rzplus,37
15,Airplane,3XUSYT70JW03KDOX68YLPA71T2C0D2,3B3WTRP3DF110HCNZH2ZBMDC1UO92V,AVV45BXBPOCS0,airplane,2,rzplus,55
16,Airplane,3UDTAB6HI9YRHNBGUSTJ3EOB265097,3VHHR074H7G3NKA2UQMKCMLF8ARL7S,A18R8GG33EVI6C,airplane,3,rxplus,1
17,Airplane,3QGTX7BCIS15ILFUVWTUXXMVYMQZ52,30BUDKLTXHUAUAMRPBKJ17HZ9SW5EI,AKM6A2R4THEII,airplane,3,rxplus,19
18,Airplane,3N5YJ55YYJ2872DSN49HALV8GMOAN7,3YOH7BII0D6UE4TGRODZ30O37IUVKA,ADZLMF2H5IPRO,airplane,3,rxplus,37
19,Airplane,3PN6H8C9S7PZLQMFYAVEEGJE2J7ADC,3R6BYFZZPBBB276XQSNKB8TJF82FXY,A1H2DOSN5SFN7A,airplane,3,rxplus,55
