,HumanRecognition,HITId,AssignmentId,WorkerId,hashed,ca,no,tr,fr,ratio,path
0,Airplane,3CMV9YRYQ60TKVDB5X6FQSU2244LJZ,3LUY3GC633ZTE5P0MIFRT3UZLHPP7T,A3URTPYCW9UF7K,-6518013483391144624,airplane,2,rxminus,1,75,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_001/075.png
1,Airplane,31SIZS5W6CEL9GC157NK95FNMRLRQM,3NC5L260MSLO8YS5P10OSV2Q9Z6FOY,A3URTPYCW9UF7K,-3214804864041676470,airplane,2,rxminus,7,75,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_007/075.png
2,Airplane,3VO4XFFP28LBRXSMWTPE4OONLFRQ7M,3MX2NQ3YCDTJ0AD8KGABPW26WAB5XQ,A3URTPYCW9UF7K,3567114579161770537,airplane,2,rxminus,13,75,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_013/075.png
3,Airplane,3L7SUC0TUXT6O7UAJ1XO80UV30O0M9,3L4PIM1GQXFX521GMJ9GBBEBQX1RY1,A3URTPYCW9UF7K,1194527432411470196,airplane,2,rxminus,19,75,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_019/075.png
4,Airplane,3JU8CV4BSOBXCRJ6D2RRF5K868FPOK,3QXNC7EIPMUU4799KUYLSYKX8YV091,A314XJY8V1YL12,-7883896568542629482,airplane,2,rxminus,31,75,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_031/075.png
5,Airplane,3TX9T2ZCCC0ZV4UERXG3NXZ8J9LZWR,3LEIZ60CDNYR6SFZOOBDYXNJQ6T9ZJ,A3URTPYCW9UF7K,3649193814124899818,airplane,2,rxminus,37,75,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_037/075.png
6,Airplane,3HY86PZXQ1H8J8NFYMD59X8WZQ41EP,3NAPMVF0Z0EXMYOUKK4FXQM6A7F271,A3URTPYCW9UF7K,-5405264374529115906,airplane,2,rxminus,49,75,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_049/075.png
7,Airplane,35XW21VSWJDMJYW1SRFTITLPYNGSLL,3PZDLQMM0XK3YFJQB1CQDCEKBH52CR,AF8WEE363EQAH,-7944419686134481619,airplane,2,rxminus,55,75,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_055/075.png
8,Airplane,38Z7YZ2SC618GH9IFKTBVDEWZV3QII,3DH6GAKTY2O67TN7W03TXEGAZFMZY6,A3URTPYCW9UF7K,2926246539824098802,airplane,2,rxminus,61,75,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_061/075.png
9,Airplane,3ULIZ0H1WD48NPUMNLK2532JMX615P,3LKC68YZ3E2QJKE0FQAOWJOQ43KOWV,A3URTPYCW9UF7K,-3507905213538238669,airplane,2,rxminus,73,75,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_073/075.png
10,Airplane,3MDKGGG62TM5FD69UNEH3FZEAB6T64,3H0W84IWBO1ZZXKPMIXM48MV8MKREC,A3URTPYCW9UF7K,-5380920486083886887,airplane,2,rxminus,79,75,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_079/075.png
11,Airplane,37SDSEDIOC1RA7DOLJR5HNCAON581W,3VD82FOHKUNH5M8VYZANKPHNCMICOO,A314XJY8V1YL12,644705429425466014,airplane,2,rxminus,85,75,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_085/075.png
12,Airplane,3T5ZXGO9EHNUB7YSFOHXV8HMV83ZQM,39DD6S19JTA81O6GWZRZQBOUH36EZV,A3URTPYCW9UF7K,-5963945256441534287,airplane,2,rxminus,97,75,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_097/075.png
13,Airplane,3RTFSSG7UB5FQFDACWPUFIOA40DWL5,3WETL7AQWX77KC6U0R3NIGD2PF735L,A314XJY8V1YL12,2608325582004287559,airplane,2,rxminus,103,75,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_103/075.png
14,Airplane,3QX22DUVPRGMH8VQMYLDTTKLXWZVMU,3WS1NTTKE2B35H0MNGYD2U68BW3F0L,A1VYUSIMD8YTHX,-5983722809217307520,airplane,2,rxminus,115,75,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_115/075.png
15,Airplane,3ZRKL6Z1FB26X6I0H0ID51GH26TSGE,33FOTY3KEQKW9U1USXCC8T4FJBC1CU,A2WWFBKCUC55BX,711614958433758783,airplane,2,rxminus,121,75,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_121/075.png
16,Airplane,3S1WOPCJGJSFEP3JOBJBDX4IT72EJ4,3TMFV4NEPCDNYSRK89LSZXYQPXA8W4,A3URTPYCW9UF7K,-829831368217806745,airplane,2,rxminus,127,75,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_127/075.png
17,Airplane,3P0I4CQYW16NW0G7PO5M7ZS4Z5HOWD,3PJUZCGDJAFCMWECFYB0LDQFRWR89G,A3URTPYCW9UF7K,-9181075015233897021,airplane,2,rxminus,133,75,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxminus_133/075.png
18,Airplane,368IUKXGB877NLD2D65XY5YHL8K6PB,3A1COHJ8NNU512WVDAZSYUO3A9R8HY,A2WWFBKCUC55BX,7187745244157467211,airplane,2,rxplus,1,75,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxplus_001/075.png
19,Airplane,3EFNPKWBNVN52LM0DJS9C1LP39803U,3FK0YFF9P3F8UFNSQSR659ZKTNXVVC,A3URTPYCW9UF7K,4580047714744392116,airplane,2,rxplus,7,75,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxplus_007/075.png
20,Airplane,3IHWR4LC8GC2AD9MTQCB9MTW5PGI8Y,3R2UR8A0IEF58KJQPV6AY22XD58OX6,A3URTPYCW9UF7K,7048301685940466192,airplane,2,rxplus,13,75,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxplus_013/075.png
21,Airplane,3X2YVV51QX320896JM7BV3FW6U91W5,30JNVC0ORDJB76WRZ4GSKL934GGHQN,A3URTPYCW9UF7K,3369907231269137387,airplane,2,rxplus,25,75,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxplus_025/075.png
22,Airplane,3E22YV8GH45FU6JUCNRE0GK3GY9NP2,3I0BTBYZA1K958HHS6Q1RFDOH73Y0B,AF8WEE363EQAH,-2297190137378520092,airplane,2,rxplus,31,75,/media/tengyu/DataU/Data/Toybox/squares_same_nview/airplane/test/02/rxplus_031/075.png
